IMAGE PATH,JOD,JOD STD,CI LOW,CI HIGH,CI RANGE,QUALITY LEVEL,IMAGE,SCENE,CONDITION,IMAGE PATH second,JOD second,JOD STD second,CI LOW second,CI HIGH second,CI RANGE second,QUALITY LEVEL second,IMAGE second,SCENE second,CONDITION second
Exposure\1380_Indoor_Scene_13.jpg,-3.899681202,1.156382127,-5.496386558,-0.515921778,4.98046478,0,1380_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor,Exposure\1316_Indoor_Scene_13.jpg,0.868092359,0.655134483,-0.500483905,2.106333018,2.606816922,4,1316_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1380_Indoor_Scene_13.jpg,-3.899681202,1.156382127,-5.496386558,-0.515921778,4.98046478,0,1380_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor,Exposure\1380_Indoor_Scene_13.jpg,-3.899681202,1.156382127,-5.496386558,-0.515921778,4.98046478,0,1380_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1376_Indoor_Scene_13.JPG,-4.498078476,0.505617998,-5.461964611,-3.561907895,1.900056716,0,1376_Indoor_Scene_13.JPG,Indoor_Scene_13,Indoor,Exposure\1388_Indoor_Scene_13.jpg,-0.44246074,0.456666448,-1.340886299,0.523027828,1.863914127,2,1388_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1376_Indoor_Scene_13.JPG,-4.498078476,0.505617998,-5.461964611,-3.561907895,1.900056716,0,1376_Indoor_Scene_13.JPG,Indoor_Scene_13,Indoor,Exposure\1321_Indoor_Scene_13.jpeg,-3.608594713,0.629479803,-4.868045385,-2.432557735,2.43548765,0,1321_Indoor_Scene_13.jpeg,Indoor_Scene_13,Indoor
Exposure\1321_Indoor_Scene_13.jpeg,-3.608594713,0.629479803,-4.868045385,-2.432557735,2.43548765,0,1321_Indoor_Scene_13.jpeg,Indoor_Scene_13,Indoor,Exposure\1350_Indoor_Scene_13.jpg,0.309196787,0.522811257,-0.795036665,1.418186011,2.213222676,3,1350_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1321_Indoor_Scene_13.jpeg,-3.608594713,0.629479803,-4.868045385,-2.432557735,2.43548765,0,1321_Indoor_Scene_13.jpeg,Indoor_Scene_13,Indoor,Exposure\1332_Indoor_Scene_13.jpg,-0.536327824,0.288676421,-1.084049409,0.070084781,1.15413419,2,1332_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1361_Indoor_Scene_13.jpg,-1.511174117,0.399819366,-2.299979129,-0.762972041,1.537007088,1,1361_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor,Exposure\1321_Indoor_Scene_13.jpeg,-3.608594713,0.629479803,-4.868045385,-2.432557735,2.43548765,0,1321_Indoor_Scene_13.jpeg,Indoor_Scene_13,Indoor
Exposure\1361_Indoor_Scene_13.jpg,-1.511174117,0.399819366,-2.299979129,-0.762972041,1.537007088,1,1361_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor,Exposure\1384_Indoor_Scene_13.jpg,-0.628563418,0.318011408,-1.3006455,-0.054171944,1.246473556,2,1384_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1379_Indoor_Scene_13.jpg,-2.21282084,0.515319452,-3.202728961,-1.262888101,1.93984086,1,1379_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor,Exposure\1371_Indoor_Scene_13.jpg,0.50423056,0.443418339,-0.279177982,1.465917612,1.745095594,3,1371_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor
Exposure\1379_Indoor_Scene_13.jpg,-2.21282084,0.515319452,-3.202728961,-1.262888101,1.93984086,1,1379_Indoor_Scene_13.jpg,Indoor_Scene_13,Indoor,Exposure\1330_Indoor_Scene_13.JPG,-0.035919982,0.441960025,-0.877531855,0.923347583,1.800879438,3,1330_Indoor_Scene_13.JPG,Indoor_Scene_13,Indoor
